correct_ans,question
○,煞車油、動力方向機油與自動變速箱油均為有毒之物品，應儲存在有標示的容器內，放置於兒童拿不到的地方。,"法規選擇題第493題,行車檢查(設備、燈光)"
X,動力轉向系統漏油時，方向盤就完全無法轉動。,"法規選擇題第494題,行車檢查(設備、燈光)"
○,汽車電瓶樁頭直徑較大者為正極，較小者為負極。,"法規選擇題第495題,行車檢查(設備、燈光)"
○,保持適當電瓶液高度，可使電瓶使用壽命增長。,"法規選擇題第496題,行車檢查(設備、燈光)"
○,檢查電瓶液若不足時，應添加蒸餾水。,"法規選擇題第497題,行車檢查(設備、燈光)"
X,檢查電瓶液若不足時，應補充礦泉水至指定位置。,"法規選擇題第498題,行車檢查(設備、燈光)"
○,電瓶液為稀硫酸，具有腐蝕性，如皮膚、眼睛、衣服等不小心碰觸到時，應立即用清水沖洗。,"法規選擇題第499題,行車檢查(設備、燈光)"
X,可直接利用抽菸用打火機之燈火，很貼近的照射，並檢查黑暗處之電瓶樁頭、電水添加蓋等情況。,"法規選擇題第500題,行車檢查(設備、燈光)"
○,車上安裝過多且耗電之電器用品，易使引擎耗費燃料。,"法規選擇題第501題,行車檢查(設備、燈光)"
○,"電瓶電量不足時，如使用另一車電瓶救援，需採""＋""極接""＋""極，""－""極接故障車輛搭鐵良好處。","法規選擇題第502題,行車檢查(設備、燈光)"
X,若擋風玻璃噴水器之儲液桶內無水時，仍可使用噴水器。,"法規選擇題第503題,行車檢查(設備、燈光)"
○,儀錶板上的「里程表」，係紀錄汽車所行駛的總里程數。,"法規選擇題第504題,行車檢查(設備、燈光)"
X,儀錶板上的「里程表」，係以每分鐘來表示引擎之旋轉數。,"法規選擇題第505題,行車檢查(設備、燈光)"
○,"儀錶板上的「引擎轉速錶」，係表示引擎之轉數；指針在"" 1 ""的位置時，表示每分鐘引擎轉速為 1,000轉。","法規選擇題第506題,行車檢查(設備、燈光)"
X,儀表板上的「引擎冷卻水水溫表」，不會因車外空氣溫度與駕駛狀況而改變。,"法規選擇題第507題,行車檢查(設備、燈光)"
○,儀錶板上的「引擎冷卻水水溫錶」之指針，如果超過正常範圍，應儘快將車輛安全停靠路邊，如果繼續行駛，可能嚴重損害引擎。,"法規選擇題第508題,行車檢查(設備、燈光)"
○,"引擎溫度高時，溫度錶指針偏向""Ｈ""處。","法規選擇題第509題,行車檢查(設備、燈光)"
X,檢查水箱內冷卻水量與水質及有無漏水，應於引擎正常工作溫度時。,"法規選擇題第510題,行車檢查(設備、燈光)"
○,引擎高熱時，切勿打開水箱壓力蓋，以防高溫液體自水箱噴出，而造成嚴重燙傷。,"法規選擇題第511題,行車檢查(設備、燈光)"
X,檢查引擎冷卻水是否足夠時，應先發動引擎數分鐘後熄火，再打開水箱蓋檢查液面。,"法規選擇題第512題,行車檢查(設備、燈光)"
X,冷卻系統只要副水箱在滿水位，主水箱不必檢查也不會有問題。,"法規選擇題第513題,行車檢查(設備、燈光)"
X,引擎冷卻水內含有防凍液或防銹劑，可不必更換。,"法規選擇題第514題,行車檢查(設備、燈光)"
X,行車時發現水溫錶指針位置超過上限，應將車輛安全停靠路邊，拉起手煞車，並馬上將引擎熄火，再即時打開水箱蓋檢查水箱水量。,"法規選擇題第515題,行車檢查(設備、燈光)"
○,發動引擎前，必須先檢查水箱的冷卻水量及機油的油面高度。,"法規選擇題第516題,行車檢查(設備、燈光)"
○,水冷式引擎無冷卻水時，不可發動。,"法規選擇題第517題,行車檢查(設備、燈光)"
X,只要冷卻水足夠，引擎就不會過熱。,"法規選擇題第518題,行車檢查(設備、燈光)"
○,使用擋風玻璃噴水器，如儲液桶內無水時，易損壞噴水器馬達，若撥動雨刷，易刮壞擋風玻璃，損壞雨刷片。,"法規選擇題第519題,行車檢查(設備、燈光)"
X,儀錶板上的「燃油油量錶」之指針高度，已經降低至「E」點，橘色的「低油料警示燈」點亮時，不必急著加油，到達目的地後再行補充燃油即可。,"法規選擇題第520題,行車檢查(設備、燈光)"
X,"當燃油錶的指針在""E""的位置時，表示油箱是滿油的。","法規選擇題第521題,行車檢查(設備、燈光)"
○,引擎發動後，各部份電器用電，由發電機發電供給。,"法規選擇題第522題,行車檢查(設備、燈光)"
○,汽車行駛中，發現充電警示燈亮起，即表示充電系統中有故障。,"法規選擇題第523題,行車檢查(設備、燈光)"
○,汽車行駛中煞車警示燈突然亮起，應立即靠邊停車，將引擎熄火等待救援。,"法規選擇題第524題,行車檢查(設備、燈光)"
○,車用ABS煞車系統，最主要優點為當緊急煞車時，使煞車及轉向仍能保持正常。,"法規選擇題第525題,行車檢查(設備、燈光)"
○,汽車用電腦控制 ABS煞車系統，當高速行駛緊急煞車時，煞車踏板會自動上下震動，表示正常現象。,"法規選擇題第526題,行車檢查(設備、燈光)"
○,高速行駛緊急煞車的過程，如該車裝設有電腦控制 ABS煞車裝置時，只要駕駛人冷靜地操作方向盤，可能會閃過障礙物。,"法規選擇題第527題,行車檢查(設備、燈光)"
○,車內置物箱之箱蓋，開啟後應隨手關上，以避免意外或突然煞車時致使乘客受傷。,"法規選擇題第528題,行車檢查(設備、燈光)"
○,車上儘量減少放置不必要的物品，減低車重，省油又省錢，並可節能減碳。,"法規選擇題第529題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,行車時不要調整駕駛座椅，座椅可能突然移動，而造成車輛失控。,"法規選擇題第530題,行車檢查(設備、燈光)"
X,行駛中如果感覺座椅位置不舒適，可以一面開車一面調整駕駛座椅。,"法規選擇題第531題,行車檢查(設備、燈光)"
X,可以將前座頭枕拆除，以免妨害後座乘客的視線。,"法規選擇題第532題,行車檢查(設備、燈光)"
X,將嬰兒放在膝上，然後繫上安全帶，既安全又能照顧保護嬰兒。,"法規選擇題第533題,行車檢查(設備、燈光)"
X,兩個小孩同時共用一條安全帶，並不影響其安全效果。,"法規選擇題第534題,行車檢查(設備、燈光)"
X,安全帶的肩帶斜綁胸前，壓迫得很不舒服，將手臂繞過肩帶，讓肩帶繫於腋下，感覺鬆弛舒適又不降低保護效果。,"法規選擇題第535題,行車檢查(設備、燈光)"
○,若安全帶已經磨損或損壞時，必須更換新的安全帶。,"法規選擇題第536題,行車檢查(設備、燈光)"
○,汽車嚴重碰撞後，使用過的安全帶，其組件包含收縮器、附件等都必須全部換新。,"法規選擇題第537題,行車檢查(設備、燈光)"
X,有安全氣囊裝備的汽車，不必繫安全帶。,"法規選擇題第538題,行車檢查(設備、燈光)"
○,自排車輛起駛時，要踩下煞車踏板，才能移動排檔桿，以避免發生暴衝危險。,"法規選擇題第539題,行車檢查(設備、燈光)"
○,自動排檔車輛，在起動引擎時，應將排檔桿放置在「P」檔位置。,"法規選擇題第540題,行車檢查(設備、燈光)"
X,自排車起動引擎時，一定要將排檔桿置於「Ｄ」檔，才能使起動馬達運轉。,"法規選擇題第541題,行車檢查(設備、燈光)"
X,自動排檔車輛，將排檔桿放置於「Ｎ」或「Ｐ」檔以外之檔位，仍可起動引擎。,"法規選擇題第542題,行車檢查(設備、燈光)"
X,自動排檔車輛在行駛中，排檔桿可以隨時換入「P」檔，或「R」檔位置。,"法規選擇題第543題,行車檢查(設備、燈光)"
○,自動排檔車停車時，應在車輛確實完全停止後，始能將排檔桿換入「P」檔位置。,"法規選擇題第544題,行車檢查(設備、燈光)"
○,自排車由前進「D」檔換入倒車「R」檔或駐車「P」檔時，應在車輛完全停止時，始能排檔操作。,"法規選擇題第545題,行車檢查(設備、燈光)"
○,自排車下險坡時，需排入較低之檔位。,"法規選擇題第546題,行車檢查(設備、燈光)"
○,行車前檢查汽車輪胎，應檢查其胎紋深度及胎壓。,"法規選擇題第547題,行車檢查(設備、燈光)"
○,輪胎胎壓必須定期檢查（包括備胎），而每部車輛的胎壓標準不盡相同，應根據汽車駕駛人使用手冊規定，充氣到規定值。,"法規選擇題第548題,行車檢查(設備、燈光)"
X,輪胎胎壓愈高愈省油，並不影響煞車性能。,"法規選擇題第549題,行車檢查(設備、燈光)"
○,輪胎氣壓不足時，不但耗油，高速長時間行駛且易發生爆胎。,"法規選擇題第550題,行車檢查(設備、燈光)"
X,輪胎之胎紋磨損過大時，不影響行車安全。,"法規選擇題第551題,行車檢查(設備、燈光)"
○,每次使用起動馬達發動引擎，最多不超過 10秒，否則電瓶與起動馬達易損壞。,"法規選擇題第552題,行車檢查(設備、燈光)"
○,起動引擎時，每次操作不可超過 10秒鐘，若無法起動，應等 10秒鐘後才可再起動。否則起動馬達會受損。,"法規選擇題第553題,行車檢查(設備、燈光)"
X,電瓶沒電，引擎無法起動，不論手排或自排車都可以用推車方式來起動引擎。,"法規選擇題第554題,行車檢查(設備、燈光)"
○,引擎發動時，排氣管排放藍白色煙，表示燃燒機油。,"法規選擇題第555題,行車檢查(設備、燈光)"
○,引擎低溫發動時，排氣管會滴水是正常現象。,"法規選擇題第556題,行車檢查(設備、燈光)"
○,煞車時有異音，是煞車系統不正常的現象，應停車檢查。,"法規選擇題第557題,行車檢查(設備、燈光)"
X,煞車時有異音，是正常的情況，不必檢修。,"法規選擇題第558題,行車檢查(設備、燈光)"
X,手煞車未放鬆，對起駛沒有什麼影響。,"法規選擇題第559題,行車檢查(設備、燈光)"
X,手煞車與腳煞車不能同時併用。,"法規選擇題第560題,行車檢查(設備、燈光)"
○,踩煞車太猛，輪胎易磨損，且容易翻車。,"法規選擇題第561題,行車檢查(設備、燈光)"
○,踩煞車時會有異音，可能是煞車來令片磨損。,"法規選擇題第562題,行車檢查(設備、燈光)"
○,新車在各項機件磨合時期內，要避免高速行駛與緊急煞車。,"法規選擇題第563題,行車檢查(設備、燈光)"
X,汽車行駛速度愈高愈省油，故引擎轉速可以無限制地提升。,"法規選擇題第564題,行車檢查(設備、燈光)"
○,冷引擎高速運轉，會縮短引擎壽命。,"法規選擇題第565題,行車檢查(設備、燈光)"
○,引擎在低溫時，耗油量比正常溫度時大。,"法規選擇題第566題,行車檢查(設備、燈光)"
X,汽車定期檢驗不必檢驗車輛故障標誌，所以隨車不一定要帶車輛故障標誌。,"法規選擇題第567題,行車檢查(設備、燈光)"
○,油電混合車最主要的功用，是可節省燃油與減少空氣污染。,"法規選擇題第568題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,電腦控制汽油噴射引擎低溫發動前，要連續踩放油門踏板數次，才容易發動。,"法規選擇題第569題,行車檢查(設備、燈光)"
○,在停車時拉緊手煞車，可防止車輛滑動。,"法規選擇題第570題,行車檢查(設備、燈光)"
○,裝有觸媒轉換器的汽車，行駛後不可停放在草地或易燃物品上，以免發生火災。,"法規選擇題第571題,行車檢查(設備、燈光)"
○,停車時，打火機等易燃物品不可留置於車內，當日光直接曝曬，所產生之高溫可能引發危險。,"法規選擇題第572題,行車檢查(設備、燈光)"
○,領有學習駕駛證，學習道路駕駛時，應依交通標誌、標線、號誌及速限規定行駛，且應注意車前狀況與兩側動態，隨時採取必要之安全措施。,"法規選擇題第573題,行駛中應注意事項(保持安全車距、注意前車狀況)"
X,學習駕駛證可以暫時充當駕駛執照使用，隨時開車上路學習道路駕駛，警察單位依法不得取締。,"法規選擇題第574題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,取得學習駕駛證，可以在任何道路行駛。,"法規選擇題第575題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,領有學習駕駛證，學習道路駕駛時，應依公路或市區道路主管機關指定之道路及時間內行之，並應由領有學習車類駕照之汽車駕駛人在旁指導監護。,"法規選擇題第576題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,未領有駕駛執照，只要我駕車技術優良，也可以教導他人學習開車，並以其做為我的職業。,"法規選擇題第577題,禁止不當行為(酒駕、不使用手機、危險駕駛)"
○,汽車駕駛人經駕照考驗及格，未領取駕駛執照前，不得駕駛汽車。,"法規選擇題第578題,禁止不當行為(酒駕、不使用手機、危險駕駛)"
X,汽車駕駛人經考驗及格，未領取駕駛執照前，得駕駛汽車。,"法規選擇題第579題,禁止不當行為(酒駕、不使用手機、危險駕駛)"
X,職業汽車駕駛人得憑因逾期審驗被註銷之職業駕駛執照，申請換發同等車類之普通駕駛執照。在未換發普通駕駛執照前，得駕駛汽車。,"法規選擇題第580題,禁止不當行為(酒駕、不使用手機、危險駕駛)"
○,持職業駕照之計程車駕駛人，執業年齡延長至年滿 70歲時，應依規定申請換發同等車類之普通駕照。,"法規選擇題第581題,禁止不當行為(酒駕、不使用手機、危險駕駛)"
X,禁止停車路段除另有規定外，原則上係全天 24小時禁止停車。,"法規選擇題第582題,禁止不當行為(酒駕、不使用手機、危險駕駛)"
○,禁止臨時停車路段，全天任何時間都不准臨時停車，亦不得停車。,"法規選擇題第583題,禁止不當行為(酒駕、不使用手機、危險駕駛)"
○,禁止停車路段可以臨時停車，但禁止停車。,"法規選擇題第584題,禁止不當行為(酒駕、不使用手機、危險駕駛)"
X,禁止臨時停車路段可以停車，但全天禁止臨時停車。,"法規選擇題第585題,禁止不當行為(酒駕、不使用手機、危險駕駛)"
○,設有禁止停車之標誌、標線路段，如無其他標誌、標線規定，夜間8時以後至隔日清晨 7時以前可以停車也可以臨時停車。,"法規選擇題第586題,禁止不當行為(酒駕、不使用手機、危險駕駛)"
X,汽車得併排臨時停車。,"法規選擇題第587題,禁止不當行為(酒駕、不使用手機、危險駕駛)"
X,通過鐵路平交道，前車並未停、看、聽安全通過，我也可以不需停、看、聽快速通過。,"法規選擇題第588題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,汽車行駛至無人看守管理之鐵路平交道，或無遮斷器、警鈴、閃光號誌設備者（無柵欄），駕駛人應在軌道外 3～6公尺前，暫停、看、聽，確認兩方無火車駛來時，始得通過。,"法規選擇題第589題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,汽車行駛時，不得跨越劃有禁止超車線、分向限制線、禁止變換車道線路段或鐵路平交道，逕行超車或迴車。,"法規選擇題第590題,禁止不當行為(酒駕、不使用手機、危險駕駛)"
X,汽車在平坦筆直路段，雖劃有雙黃線，而對向無來車時仍可駛入來車之車道內超車前進。,"法規選擇題第591題,禁止不當行為(酒駕、不使用手機、危險駕駛)"
○,汽車行經設有彎道、陡坡、狹橋、隧道、交岔路口標誌之路段或鐵路平交道、道路施工地段，不得超車。,"法規選擇題第592題,禁止不當行為(酒駕、不使用手機、危險駕駛)"
X,直行車尚未進入交岔路口，轉彎車可先轉彎。,"法規選擇題第593題,轉彎(左右轉、迴轉)"
○,汽車行經行人穿越道，遇有行人穿越時，無論有無交通指揮人員指揮或號誌指示，均應暫停讓行人優先通過。,"法規選擇題第594題,路口安全(有號誌路口、無號誌路口、停讓行人)"
X,前方有執行任務之救護車行駛，因趕時間，可以超越它行駛。,"法規選擇題第595題,禁止不當行為(酒駕、不使用手機、危險駕駛)"
X,開車時不必理會義交之指揮，一切以號誌為主。,"法規選擇題第596題,路口安全(有號誌路口、無號誌路口、停讓行人)"
○,汽車在夜間行駛或行經隧道、涵洞、地下道應開亮頭燈。或遇有濃霧、大雨、天色昏暗、視線不清時仍應開亮頭燈。,"法規選擇題第597題,正確使用燈光(頭燈、霧燈、方向燈)"
X,汽車經過隧道，因隧道內燈光明亮視線良好，為省電可不必開亮頭燈。,"法規選擇題第598題,正確使用燈光(頭燈、霧燈、方向燈)"
○,汽車行經山區、特殊路段、涵洞或地下道等應依標誌指示使用燈光。,"法規選擇題第599題,正確使用燈光(頭燈、霧燈、方向燈)"
○,汽車行近急彎、上坡道頂端視距不良處或在郊外同一車道欲超越前車時，或遇有緊急危險情況時，可按鳴喇叭。,"法規選擇題第600題,行駛中應注意事項(保持安全車距、注意前車狀況)"
X,汽缸總排氣量超過 250立方公分以上未滿 550立方公分大型重型機車行駛路權比照小型汽車，可行駛高速公路、快速公路。,"法規選擇題第601題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,客貨兩用車，載人不得超過核定之人數，載貨不得超過核定之載重量，兼載客、貨時不得超過核定之總重量。,"法規選擇題第602題,貨物裝載(防止掉落或滲漏)"
X,汽車牌照不得偽造、變造或矇領，但得借供他車使用或使用他車牌照行駛。,"法規選擇題第603題,禁止不當行為(酒駕、不使用手機、危險駕駛)"
○,領有牌照之汽車，其出廠年份，自用小客車(使用液化石油氣及壓縮天然氣為燃料者除外)未滿5年者免予定期檢驗，5年以上未滿 10 年者，每年至少檢驗 1次，10年以上者每年至少檢驗 2次。,"法規選擇題第604題,行車檢查(設備、燈光)"
X,領有牌照之汽車，其出廠年份，自用小客車未滿 6年者免予定期檢驗，6年以上未滿 10年者，每年至少檢驗 1次，10年以上者每年至少檢驗2次。,"法規選擇題第605題,行車檢查(設備、燈光)"
X,自用小客車使用液化石油氣及壓縮天然氣為燃料，小貨車、大型車、幼童專用車及營業車其出廠年份未滿 5年者，每年至少檢驗1 次，10年以上每年至少檢驗 2次。,"法規選擇題第606題,行車檢查(設備、燈光)"
○,使用中之車輛欲變更使用液化石油氣為燃料者，應依規定取得車輛安全審驗合格報告，並向公路監理機關申請實施檢驗及辦理變更登記。,"法規選擇題第607題,行車檢查(設備、燈光)"
○,汽車定期檢驗之項目及標準，包括腳煞車、手煞車效能、平衡度合於規定以及各種燈光完備，作用正常。,"法規選擇題第608題,行車檢查(設備、燈光)"
○,汽車引擎、底盤、電系、車門損壞，行駛時顯有危險而不即行停駛修復者，處汽車所有人罰鍰，並扣留其牌照，責令修復檢驗合格後發還之。,"法規選擇題第609題,行車檢查(設備、燈光)"
○,小型汽車應依核定附掛拖車，且附掛之拖車應僅限於裝載露營、休閒遊憩、防疫及救災用具使用，且其車門應能關閉良好，物品應捆紮牢固、堆放平穩，行駛中不得附載人員及其側面車窗不得向外開啟。,"法規選擇題第610題,貨物裝載(防止掉落或滲漏)"
○,行車前應注意方向盤、煞車、輪胎、燈光、雨刮、喇叭、照後鏡及依規定應裝設之行車紀錄器、載重計與轉彎、倒車警報裝置等須詳細檢查確實有效。,"法規選擇題第611題,行車檢查(設備、燈光)"
X,汽車可以裝設發出不同音調之喇叭。,"法規選擇題第612題,行車檢查(設備、燈光)"
○,使用中之車輛自行改裝 HID、LED頭燈後，需經頭燈檢驗器實施頭燈照射角度調整，以避免眩光，並經公路監理機關檢驗合格，辦理變更登記。,"法規選擇題第613題,行車檢查(設備、燈光)"
○,汽車可以變更顏色，但必須至公路監理機關辦理變更登記。,"法規選擇題第614題,行車檢查(設備、燈光)"
○,已繳銷牌照之車輛，得再重新申請牌照使用。,"法規選擇題第615題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,汽車之車門嚴重損壞已無法修復時，須申請報廢。,"法規選擇題第616題,行車檢查(設備、燈光)"
○,執法人員於攔檢汽車駕駛人行駛道路以手持方式使用行動電話、電腦或其他相類功能裝置進行撥接、通話、數據通訊或其他有礙駕駛安全之行為時，應以不妨礙交通秩序及行車安全為原則，必要時可以錄影或照相採證方式辦理。,"法規選擇題第617題,禁止不當行為(酒駕、不使用手機、危險駕駛)"
○,吸食毒品、迷幻藥、麻醉藥品及相類似之管制藥品或酒類，不能安全駕駛動力交通工具而駕駛者，處 3年以下有期徒刑，得併科30 萬元以下罰金。,"法規選擇題第618題,禁止不當行為(酒駕、不使用手機、危險駕駛)"
○,自動排檔車在行駛中引擎熄火，欲再重新起動時，卻無法起動，其排檔桿可能還停留在「D」檔位置。,"法規選擇題第619題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,車輛行經平交道遇拋錨或障礙時，應立即進行應變。其順序為：按下「平交道緊急按鈕」→「將故障車輛推離平交道」→「火車接近時，人員迅速跑離平交道」。,"法規選擇題第620題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,電化鐵路區間，平交道前後設置限高門，係提醒車輛注意，禁止超過規定裝載高度之車輛通行。,"法規選擇題第621題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,汽車在高速或快速公路之隧道內行駛，發生故障時，應開啟危險警告燈，並在後方 100公尺處設置車輛故障標誌警示之，且利用緊急電話或手機通報管理單位。,"法規選擇題第622題,事故預防及處理(預防國道二次事故、急救常識)"
○,駕駛汽車欲進入高速公路，如發現匝道口設有禁止進入標誌、箭頭向外之指向線，或匝道上設有紅色反光導標，表示該處為出口匝道，禁止任何車輛進入。,"法規選擇題第623題,禁止不當行為(酒駕、不使用手機、危險駕駛)"
○,行經設有施工標誌、白色方型道路線型改變告示牌或停有施工警示車時，表示前方為施工路段，車輛應減速慢行小心通過。,"法規選擇題第624題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,高速公路之交通事故由內政部警政署國道公路警察局處理。快速公路之交通事故由所轄縣、市政府警察機關或內政部警政署指定之警察機關處理。,"法規選擇題第625題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,行駛時，發現前方有交通指揮人員封路封橋，應不予理會，加速闖越以免行程受阻。,"法規選擇題第626題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,假設欲行駛之路段將封路封橋，應配合交通指揮人員引導，只出不進，儘速駛離該路段，不任意逗留。,"法規選擇題第627題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,雨天行駛山區道路應隨時收聽警察廣播電台，留意路況資訊，提高警戒，注意四周狀況，勿行駛危險路段。,"法規選擇題第628題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,道路是百分之百絕對安全的，因此上路前不需要特別查詢路況，即使颱風豪雨出門也不會有任何危險。,"法規選擇題第629題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,中央氣象署發布豪(大)雨特報期間，遇有道路零星落石坍方或河川上游豪(大)雨造成下游橋樑水位暴漲，可能是發生公路災害之前兆，應避免行駛該路段並通報公路單位或警察廣播電台以免其他用路人受災。,"法規選擇題第630題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,汽車起駛前應關閉駕駛人視線範圍內之娛樂性顯示設備。但提供行車輔助顯示，不在此限。,"法規選擇題第631題,行車檢查(設備、燈光)"
X,汽車行駛於道路，駕駛人觀看行車輔助顯示並不違規，所以一邊開車一邊操作行車輔助顯示，也不違規。,"法規選擇題第632題,行駛中應注意事項(保持安全車距、注意前車狀況)"
○,汽車行駛於大眾捷運系統車輛共用通行之車道時，聞或見大眾捷運系統車輛臨近之聲號或燈光時，應即依規定變換車道，避讓其優先通行，並不得在後跟隨迫近。但道路主管機關另有規定者，不在此限。,"法規選擇題第633題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,汽車行駛至有大眾捷運系統車輛共用通行且設有聲光號誌之交岔路口，警鈴已響，閃光號誌已顯示，駕駛人無須暫停俟大眾捷運系統車輛通過後，看、聽兩方無大眾捷運系統車輛駛來，直接加速通過。,"法規選擇題第634題,路口安全(有號誌路口、無號誌路口、停讓行人)"
X,"汽車駕駛人行經有燈光號誌管制之大眾捷運系統車輛共用通行交岔路口，紅燈右轉者，處新臺幣 600～1,800 元罰鍰。","法規選擇題第635題,路口安全(有號誌路口、無號誌路口、停讓行人)"
○,雪地裡行車前輪胎應更換成雪胎或上雪鏈，並確認輪胎與備胎之胎壓、胎紋厚度是否足夠。,"法規選擇題第636題,行車檢查(設備、燈光)"
X,結霜或結冰路面只要善用雪胎或上雪鏈，即不會有打滑危險。,"法規選擇題第637題,行車檢查(設備、燈光)"
○,雪地行車容易打滑，應加長行車安全距離。,"法規選擇題第638題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,"汽車駕駛人駕駛汽車肇事，無人受傷或死亡而未依規定處置者，處新臺幣1,000 元以上3,000元以下罰鍰；逃逸者，並吊扣其駕駛執照一個月至三個月。","法規選擇題第641題,事故預防及處理(預防國道二次事故、急救常識)"
○,"汽車駕駛人駕駛汽車肇事，無人受傷或死亡汽車尚能行駛，而不儘速將汽車位置標繪移置路邊，致妨礙交通者，處駕駛人新臺幣 600 元以上1,800 元以下罰鍰。","法規選擇題第642題,事故預防及處理(預防國道二次事故、急救常識)"
○,發生道路交通事故，駕駛人或肇事人應先為處置包含事故地點在車道或路肩者，應在適當距離處豎立車輛故障標誌或其他明顯警告設施，事故現場排除後應即撤除、有受傷者，應迅予救護，並儘速通知消防機關。,"法規選擇題第643題,事故預防及處理(預防國道二次事故、急救常識)"
○,道路交通事故無人傷亡且車輛尚能行駛案件，當事人使用照相或錄影工具紀錄車輛位置與現場痕跡之方式時應掌握拍攝及移車全程注意安全之原則。,"法規選擇題第644題,事故預防及處理(預防國道二次事故、急救常識)"
X,汽車駕駛人駕駛汽車肇事，無人受傷或死亡汽車尚能行駛，不得任意移動肇事車輛及現場痕跡證據，於現場安全處所等待警察到場處理。,"法規選擇題第645題,事故預防及處理(預防國道二次事故、急救常識)"
○,汽車駕駛人拆除消音器造成噪音，處罰鍰丶當場禁止其行駛丶吊扣汽車牌照6個月，於1年內再犯者，並吊扣駕照6個月。,"法規選擇題第646題,禁止不當行為(酒駕、不使用手機、危險駕駛)"
○,駕駛人應隨時留意車前狀況並依規定行駛，如遇自行車騎士除保持安全距離及間隔外，尤應注意其手勢所預告即將變換行進之方向。,"法規選擇題第647題,行駛中應注意事項(保持安全車距、注意前車狀況)"
○,行經輕軌路口應迅速通過，切勿在軌道區停留。,"法規選擇題第648題,路口安全(有號誌路口、無號誌路口、停讓行人)"
○,汽車駕駛人行經有畫設機慢車優先道路段時，應優先禮讓電動輔助自行車及電動自行車。,"法規選擇題第649題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,於高速公路發生無人傷亡且車輛尚能行駛之交通事故，應先標繪車輛位置及現場痕跡證據後，並得採用攝影或錄影等設備記錄，將車輛移置不妨礙交通之處，通知有關單位處理。,"法規選擇題第650題,事故預防及處理(預防國道二次事故、急救常識)"
○,汽車於高速公路發生交通事故致人受傷或死亡者，應即採取救護措施及依規定處置，並撥打110、1968或1968App報請警察機關或有關單位處理，不得任意移動肇事汽車及現場痕跡證據；但肇事致人受傷案件當事人均同意時，應先標繪車輛位置及現場證據後，將車輛移置不妨礙交通之處所。,"法規選擇題第651題,事故預防及處理(預防國道二次事故、急救常識)"
○,汽車於高速公路發生交通事故後，應在適當距離處豎立車輛故障標誌或其他明顯警告設施，事故現場排除後應即撤除、有受傷者，應迅予救護，並儘速撥打110、1968或1968App報請警察機關或有關單位處理。,"法規選擇題第652題,事故預防及處理(預防國道二次事故、急救常識)"
○,汽車於高速公路發生故障或交通事故後，若無人傷亡且車輛尚能行駛，為防遭後車追撞，應移動至安全處所等候救援，避免在車道上逗留，視線須面向來車方向，注意後方車輛狀況。,"法規選擇題第653題,事故預防及處理(預防國道二次事故、急救常識)"
○,車輛於國道故障或發生事故時，若無人傷亡且車輛尚能行駛，為防遭後車追撞，應將車移置路肩上，車上所有人員應下車，撤離至護欄外或安全處所等候救援，避免在路肩上逗留，且示警後方來車。,"法規選擇題第654題,事故預防及處理(預防國道二次事故、急救常識)"
○,中華民國112年6月30日起，新考領之汽車駕駛執照不得駕駛輕型機車。,"法規選擇題第655題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,通學區起(終)點標線，用以提醒車輛駕駛人已進入或離開通學區，通學區內應當心兒童或行人，並依速限行駛。,"法規選擇題第656題,路口安全(有號誌路口、無號誌路口、停讓行人)"
○,汽車行駛在行人優先區內，行車時速不得超過20公里，並禁止按鳴喇叭，違者將處以罰鍰。,"法規選擇題第657題,路口安全(有號誌路口、無號誌路口、停讓行人)"
○,汽車駕駛人使用車輛駕駛輔助系統，使用前應瞭解適用範圍和限制，行駛時仍應隨時注意前方車況，必要時應迅速介入操控車輛，切勿過度信賴駕駛輔助系統。,"法規選擇題第658題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
